#SampleID,observed_features
BaP_0001,10
BaP_0002,10
BaP_0003,9
BaP_0004,9
BaP_0005,10
BaP_0006,6
BaP_0007,10
BaP_0008,12
BaP_0009,8
BaP_0010,13
BaP_0011,10
BaP_0012,8
BaP_0013,10
BaP_0014,13
BaP_0015,7
BaP_0016,13
BaP_0017,12
BaP_0018,9
BaP_0019,7
BaP_0020,8
BaP_0021,8
BaP_0022,8
BaP_0023,8
BaP_0024,8
BaP_0025,9
BaP_0026,8
BaP_0027,8
BaP_0028,8
BaP_0029,7
BaP_0030,8
BaP_0031,8
BaP_0032,8
BaP_0033,8
BaP_0034,8
BaP_0035,8
BaP_0036,8
BaP_0037,7
BaP_0038,11
BaP_0039,9
BaP_0040,7
BaP_0041,10
BaP_0042,11
BaP_0043,13
BaP_0044,12
BaP_0045,9
BaP_0046,11
BaP_0047,12
BaP_0048,11
BaP_0049,14
BaP_0050,13
BaP_0051,12
BaP_0052,7
BaP_0053,12
BaP_0054,12
BaP_0055,7
BaP_0056,5
BaP_0057,7
BaP_0058,7
BaP_0059,7
BaP_0060,11
BaP_0061,8
BaP_0062,9
BaP_0063,7
BaP_0064,8
BaP_0065,7
BaP_0066,9
BaP_0067,7
BaP_0068,9
BaP_0069,8
BaP_0070,9
BaP_0071,7
BaP_0072,9
BaP_0073,5
BaP_0074,6
BaP_0075,6
BaP_0076,7
BaP_0077,7
BaP_0078,7
BaP_0079,7
BaP_0080,5
BaP_0081,7
BaP_0082,15
BaP_0083,6
BaP_0084,3
BaP_0085,9
BaP_0086,8
BaP_0087,6
BaP_0088,6
BaP_0089,8
BaP_0090,8
BaP_0091,9
BaP_0092,10
BaP_0093,11
BaP_0094,8
BaP_0095,10
BaP_0096,9
BaP_0097,9
BaP_0098,9
BaP_0099,10
BaP_0100,9
BaP_0101,10
BaP_0102,10
BaP_0103,5
BaP_0104,9
BaP_0105,7
BaP_0106,10
BaP_0107,11
BaP_0108,11
BaP_0109,9
BaP_0110,12
BaP_0111,13
BaP_0112,9
BaP_0113,11
BaP_0114,9
BaP_0115,10
BaP_0116,12
BaP_0117,13
BaP_0118,13
BaP_0119,12
BaP_0120,17
BaP_0121,11
BaP_0122,7
BaP_0123,13
BaP_0124,10
BaP_0125,11
BaP_0126,13
BaP_0127,8
BaP_0128,7
BaP_0129,9
BaP_0130,8
BaP_0131,8
BaP_0132,7
BaP_0133,9
BaP_0134,8
BaP_0135,9
BaP_0136,8
BaP_0137,9
BaP_0138,7
BaP_0139,8
BaP_0140,7
BaP_0141,8
BaP_0142,8
BaP_0143,8
BaP_0144,11
BaP_0433,11
BaP_0434,10
BaP_0435,10
BaP_0436,13
BaP_0437,10
BaP_0438,12
BaP_0439,13
BaP_0440,11
BaP_0441,13
BaP_0442,8
BaP_0443,11
BaP_0444,10
BaP_0445,7
BaP_0446,10
BaP_0447,10
BaP_0448,11
BaP_0449,5
BaP_0450,7
BaP_0451,10
BaP_0452,12
BaP_0453,10
BaP_0454,9
BaP_0455,10
BaP_0456,11
BaP_0457,9
BaP_0458,10
BaP_0459,10
BaP_0460,11
BaP_0461,11
BaP_0462,12
BaP_0463,10
BaP_0464,10
BaP_0465,9
BaP_0466,11
BaP_0467,10
BaP_0468,10
BaP_0541,8
BaP_0542,10
BaP_0543,11
BaP_0544,10
BaP_0545,9
BaP_0546,12
BaP_0547,12
BaP_0548,13
BaP_0549,11
BaP_0550,11
BaP_0551,11
