,taxa,stat,p_value,p_adj,significant,fold_change,log2_fc,neg_log10_p,Kingdom,Phylum,Class,Order,Family,Genus
6,ASV007,15.985802422629058,6.381929585239351e-05,0.0017869402838670183,True,5.041553,2.3338682099713064,2.747889960544366,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
3,ASV004,11.568222857402104,0.0006708850709078092,0.00939239099270933,True,0.071348,-3.8089832005855637,2.027223836620132,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas
2,ASV003,8.42957749133123,0.003691661139276518,0.034455503966580835,True,1.711756,0.775477069333846,1.4627413934548665,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
8,ASV009,7.246045270677372,0.007105733745365883,0.04974013621756118,True,1.720943,0.7831993141246818,1.3032930297123604,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
11,ASV012,6.747379549237512,0.009388547437696178,0.0525758656510986,False,0.129749,-2.9462046753839783,1.2792135680111056,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
7,ASV008,5.100555825561043,0.023918177982436437,0.11161816391803671,False,1.989856,0.9926640309685402,0.9522651257615141,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
19,ASV020,3.998058101769996,0.04555271820364328,0.18221087281457313,False,6.596613,2.7217254695710142,0.7394257115425797,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
5,ASV006,3.7052679132772615,0.05424096299957258,0.18490637525838305,False,0.489582,-1.0303775780906825,0.7330481148451256,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
10,ASV011,3.5531034181309966,0.05943419204733741,0.18490637525838305,False,0.421908,-1.2449996514379347,0.7330481148451256,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
22,ASV023,3.1747170852885542,0.07478616255198835,0.20940125514556737,False,0.0,0.0,0.6790207194997733,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,
18,ASV019,2.9463976945244847,0.08606921259058796,0.21908526841240572,False,0.042491,-4.556698892768282,0.6593868240015811,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella
12,ASV013,2.6700044503782783,0.10225573763042427,0.2298804038688352,False,0.152297,-2.7150405714978136,0.6384980485408959,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Rheinheimera
17,ASV018,2.601981654551791,0.10673018751053064,0.2298804038688352,False,0.170307,-2.5537903606475343,0.6384980485408959,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Paucibacter
16,ASV017,2.2563957633159677,0.1330634330637911,0.2447582272551798,False,0.235521,-2.08607239281943,0.611262700989694,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
21,ASV022,2.086530612244978,0.14860320940493058,0.2447582272551798,False,0.0,0.0,0.611262700989694,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
28,ASV030,2.086530612244978,0.14860320940493058,0.2447582272551798,False,0.0,0.0,0.611262700989694,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinimonadaceae,Chitinimonas
24,ASV025,2.086530612244978,0.14860320940493058,0.2447582272551798,False,0.0,0.0,0.611262700989694,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paraclostridium
15,ASV016,1.7225725925740882,0.1893622323579998,0.29456347255688853,False,0.622548,-0.6837430180403867,0.5308211089887388,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
9,ASV010,1.5839157227941232,0.20819756564715433,0.3068174651642274,False,1.403171,0.48869083634131605,0.5131199224004952,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
20,ASV021,1.196089411545139,0.2741046821366191,0.3837465549912667,False,0.208742,-2.2602071872718743,0.4159555102899979,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
26,ASV027,0.9020369592608589,0.34223611409877885,0.4563148187983718,False,1.275253,0.35078349464195774,0.34073542730917056,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,Chitinibacter
14,ASV015,0.5220933844610616,0.46995006732418176,0.598118267503504,False,0.617084,-0.6964612065906804,0.22321293332636796,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
30,ASV034,0.4139870273254787,0.5199527532179506,0.6325059154517624,False,0.200988,-2.314818727101554,0.19893540843507737,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
1,ASV002,0.3715733071010408,0.542147927530082,0.6325059154517624,False,0.837366,-0.2560697541045986,0.19893540843507737,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
23,ASV024,0.25562420110783296,0.613142452585094,0.6867195468953052,False,1.863426,0.8979575281878778,0.1632205906020804,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer
0,ASV001,0.08941798941802404,0.7649183694248279,0.8237582439959685,False,0.957983,-0.06192804021328327,0.08420022605008261,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium
13,ASV014,0.0005313734882480173,0.9816091610203272,0.9862218838510475,False,0.454229,-1.1385082778328954,0.006025364885081191,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Rheinheimera
4,ASV005,0.00029822409653113756,0.9862218838510475,0.9862218838510475,False,1.057458,0.08060036368090519,0.006025364885081191,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
